アーティスト	アーティスト(ソート用)	曲名	最近の歌唱
Orangestar feat.初音ミク	Orangestar feat.はつねみく	霽れを待つ	https://www.youtube.com/live/i7euCqiwzl4?si=Gvd-dBAI4nZ9HDpv&t=1633
Orangestar feat.初音ミク&IA	Orangestar feat.はつねみく&IA	空奏列車	https://www.youtube.com/live/B1g4NIZAKqo?si=v8CWAz6GBo-vVIKK&t=6452
Peabo Bryson&Regina Belle	Peabo Bryson&Regina Belle	A Whole New World	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=14169
Perfume	Perfume	チョコレイト・ディスコ	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=6864
P丸様。	Pまるさま。	シル・ヴ・プレジデント	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=7552
R Sound Design feat.可不	R Sound Design feat.かふ	レトロポリス	https://www.youtube.com/live/i7euCqiwzl4?si=Gvd-dBAI4nZ9HDpv&t=2666
R Sound Design feat.初音ミク	R Sound Design feat.はつねみく	flos	https://www.youtube.com/live/B1g4NIZAKqo?si=v8CWAz6GBo-vVIKK&t=3483
R Sound Design feat.初音ミク	R Sound Design feat.はつねみく	帝国少女	https://www.youtube.com/live/Cs48limSzrE?si=n8CFockH4OVXGSvE&t=772
RADWIMPS	RADWIMPS	なんでもないや	https://www.youtube.com/live/6wh0qjbo6K4?si=vntI9mYE52ZplV6U&t=4979
RADWIMPS	RADWIMPS	スパークル	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=16754
RADWIMPS	RADWIMPS	前前前世	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=7091
RADWIMPS	RADWIMPS	夢灯篭	https://www.youtube.com/live/b0qPGU0sZn4?si=C5mabzVl6bhK7mp0&t=1189
Ray	Ray	ebb and flow	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=4498
ReoNa	ReoNa	ANIMA	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=10330
SHISHAMO	SHISHAMO	バンドマン(1chorus)	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=4974
SHISHAMO	SHISHAMO	熱帯夜	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=4662
SMAP	SMAP	世界に一つだけの花	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=5247
SPYAIR	SPYAIR	サムライハート(Some Like It Hot!!)	https://www.youtube.com/live/cHLqE4AOOjI?si=heDnYTUAoUpLyQ_J&t=1484
Saucy Dog	Saucy Dog	シンデレラボーイ	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=847
Superfly	Superfly	愛をこめて花束を	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=6075
T-Pistonz＋KMC	T-Pistonz＋KMC	つながリーヨ(1番のみ)	https://www.youtube.com/live/wY3z5W9B8N0?si=FVqBjyoCdmcOKFxz&t=4847
THE ORAL CIGARETTES	THE ORAL CIGARETTES	狂乱 Hey Kids!!	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=6740
TK from 凛	TK from りん	unravel	https://www.youtube.com/live/rjOy6A4c68o?si=Q07K-470tlYbzNHk&t=8114
TOKOTOKO feat.GUMI	TOKOTOKO feat.GUMI	夜もすがら君想ふ	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=288
TRUSTRICK	TRUSTRICK	innocent promise	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=4990
True	True	Sincerely	https://www.youtube.com/live/r7Bwk1jHwnc?si=YSwS6uQI_0X3Y91g&t=5425
